"Tên Món","Thời gian","Số người","Độ khó","Nguyên Liệu","Cách Nấu"
Bánh trung thu hình con heo dễ thương,60 phút,4 người,Dễ,Phần vỏ bánh- | Bột mì-400 gr | Lòng đỏ trứng gà-2 cái | Nước đường-190 ml | Dầu-80 ml | mạch nha-1 muỗng cà phê (nếu có) | phần nhân đậu xanh- | Đậu xanh không vỏ-600 gr | Đường-240 gr | 50 gr bột bánh dẻo + 70 ml dầu-hòa chung trong 1 cái chén | Dầu-100 ml | Muối-1 muỗng cà phê | Vanilla-1 gói,"Cách làm nhân bánh: | Bước 1:Các bạn ngâm đậu xanh trong nước ít nhất 3 tiếng (bạn càng ngâm lâu thì đậu xanh khi nấu càng tơi)  Sau đó bạn vo sạch đậu xanh. Tiếp theo các bạn cho đậu xanh đã vo sạch, 700 ml nước lạnh và muối vào nồi hấp đã có sẵn nước rồi nấu với lửa vừa. Khi nước hơi cạn bạn đậy nắp lại nấu cho đậu chín. Khi nước đã cạn hẳn và đậu xanh sền sệt thì bạn tắt bếp. | Bước 2:Các bạn cho đậu xanh còn nóng cùng với đường vào máy xay nhuyễn. | Bước 3:Tiếp theo các bạn cho đậu xanh đã xay nhuyễn vào chảo chống dính cùng với 80 ml dầu, bắc lên bếp sên 15 phút. Tiếp theo các bạn cho chén bột bánh dẻo hòa chung với dầu vào sên tiếp cho đến khi đậu xanh quyện lại một khối không dính nồi là tắt bếp. Bạn để cho nhân đâuk xanh nguội hẳn rồi vo thành những viên nhỏ | Nhân đậu xanh thưởng được sên trong thời gian khoảng 40 phút. | Cách làm vỏ bánh trung thu hình con heo dễ thương: | Bước 1:Các bạn cho đường, dầu, mạch nha và trứng vào 1 cái tô lớn hòa tan. | Bước 2:Tiếp theo các bạn cho bột ra âu to, khoanh lỗ ở giữa rồi cho nước đường vào nhồi. Các bạn nhồi cho bột mịn dẻo là được. Để kiểm tra bột được hay chưa thì bạn kéo bột bạn thấy bột chạy bài không rời rạc là được. Sau khi xong bạn lấy màng thực phẩm bọc bột lại để 30 phút cho bột nghỉ. | Cách phân lượng nhân và bột: | Bạn chia nhân và bột bằng nhau: viên bột 50gram và viên nhân nặng 50 gram. | Bước 1:Các bạn cho nhân vào bột, viên tròn lại. | Bước 2:Tiếp theo bạn gắn hai hạt đậu đỏ làm mắt. Viên tròn 1 viên bột nhỏ, đè dẹp gắn dưới 2 mắt làm mũi. | Bước 3:Sau đó bạn lấy 1 miếng bột nhỏ ve tròn rồi miết 1 đầu hơi nhọn làm tai của chú heo. Các bạn gắn phần tai lên phía trên mắt. | Bước 4:Cuối cùng các bạn đầu đũa chích 2 lỗ nơi mũi. | Bước 5:Trước khi nướng các bạn làm nóng lò nướng ở 210 độ C hai lửa để nóng trước 10 phút. Sau đó bạn cho khay bánh vào ngăn giữa của lò nướng 5 phút.  5 phút sau bạn lấy khay bánh ra, dùng cọ phết trứng lên mặt bánh. | Bước 6:Sau đó bạn cho khay bánh vào lò nướng tiếp 6 phút ở nhiệt độ 200 độ C.Sau đó các bạn lấy khay bánh ra, tiếp tục quét 1 lớp màu lần nữa để chiếc bánh có màu sắc đẹp hơn. Sau đó cho khay bánh vào nướng tiếp 6 phút nữa. Qua 6 phút, bạn bật lửa trên nướng thêm 1-2 phút nữa là xong. | Lưu ý: | Khi nướng lửa trên bạn phải xem chừng để bánh không bị cháy nhé. | Khi sên đậu xanh bạn chú ý không để đậu bị cháy hoặc quá nát sẽ khiến bánh dễ bị hỏng | Thời gian nướng và phết bánh có thể chênh lệch 1-2 phút tùy thuộc vào chiếc bánh bạn tạo ra | Phần trứng thoa mặt bánh: | Lòng đỏ trứng các bạn đánh hơi nổi với 1 muỗng dầu mè, 1 muỗng nước lã, 1/2 muỗng cà phê nước màu kho cá và 1 giọt màu vàng thực phẩm."
Bánh bao khoai lang tím thơm ngon hấp dẫn,60 phút,4 người,Dễ,Bột mì-280 gr | Đường trắng-30 gr | Men nở-20 gr | Khoai lang tím-150 gr | Sữa tươi không đường-90 ml | Dầu ăn-một ít,"Bước 1:Các bạn đem khoai lang tím đi rửa thật sạch rồi mang hấp chín hoặc luộc chín (các bạn nên hấp chín vì khi luộc khoai chất ngọt trong khoai sẽ bị hòa vào nước còn khi hấp khoai thì vẫn giữ được chất ngọt mà vẫn đảm bảo khoai chín bở). Khi khoai chín, các bạn bóc vỏ, dầm nhuyễn và rây qua rây để bột khoai được mịn hơn. | Bước 2:Các bạn cho khoai lang tím vừa dầm nhuyễn vào một bát tô to cùng 100g bột mì, dùng tay nhào hỗn hợp bột cho thật dẻo và nhuyễn để tạo thành khối bột màu tím. | Tiếp theo các bạn cho vào bát 15g đường trắng cùng 10g men nở vào một chiếc bát với ít nước ấm đợi khoảng 5 phút cho men phồng lên thì đem trộn cùng hỗn hợp bột khoai lang vừa nhào. | Bước 3:ở bước này bạn cho nốt 15g đường trắng, 10g men nở và 180g bột mì còn lại cho vào nước ấm trộn đều để tạo ra hỗn hợp bột màu trắng. | Bước 4:Sau đó các bạn đun sữa cho âm ấm rồi cho 1/2 sữa vào bột màu trắng trộn đều. Phần sữa còn lại bạn cho vào bột màu tím. tiếp theo các bạn cho bột màu tím, màu trắng vào hai bát to khác nhau, đậy kín lại ủ khoảng 2 tiếng cho bột nở to gấp đôi ra | Bước 5:Sau khi bột đã được ử và nở to, bạn cho bột màu tím vào máy cán khoảng 7 – 10 lần cho bột mềm, mịn rồi để riêng ra. Các bạn làm tương tự đối với bột màu trắng. (Nếu không có máy cán bột, các bạn có thể nhào bột thật kĩ rồi dùng dụng cụ cán bột bằng tay cán cho bột mỏng ra là được) | Bước 6:Sau khi  bột màu trắng với bột màu tím đã được cán thành những tấm mỏng bằng nhau thì bạn dải bột màu trắng xuống bàn, dùng tay phết một ít nước sạch lên mặt bột rồi dải bột màu tím lên cho khớp. Miết nhẹ xung quanh cho hai mảng bột dính liền với nhau. (Việc phết nước lên lớp bánh sẽ giúp bánh không bị dính vào nhau và khi hấp bánh cũng không bị khô) | Bước 7:Sau khi đặt từng lớp bánh cán mỏng lên thì bạn cuộn tròn bột lại thành một khúc dài rồi dùng dao thái thành những miếng dầy 5 – 7 cm. Có một cách khác là bạn có thể để lại một ít bột màu tím sau đó vo thành những viên tròn nhỏ để làm nhân. Bạn dùng dụng cụ cán bánh cán những miếng bột hình xoắn ốc dẹt ra rồi cho nhân bánh màu vào bên trong, ve tròn lại hay tạo hình tùy bạn. Cách làm kiểu này sẽ giúp những chiếc bánh có nhân vô cùng bắt mắt) | Bước 8:Bước cuối cùng bạn dùng ít dầu ăn phết vào mặt của từng chiếc bánh rồi cho chúng vào nồi hấp khoảng 15 phút là xong. | Chúc các bạn thành công và ngon miêng! | Lưu ý: | Khi rây bột khoai bạn càng để bột khoai mịn bao nhiêu thì khi bánh chín ăn sẽ càng tơi và không bị vón cục | Khi nhào bột bạn nên nhào thật kĩ để bột bánh được đều và không vón cục | Bạn nên bôi một ít dầu lên bánh trước khi hấp để khi chín lấy bánh ra sẽ không bị dính nồi"
Gà bó xôi chiên giòn thơm ngon hấp dẫn,150 phút,4 người,Dễ,"Gà làm sẵn-1 con khoảng 1,2 kg | Gạo nếp-1 kg | Hành lá-một ít | Nước cốt dừa-1 lon | Muối-Vừa đủ | Hành khô-1- 2 củ | Gừng-1 - 2 nhánh | Đường-Vừa đủ | Hạt tiêu-Vừa đủ | Bột nêm gà-Vừa đủ","Sơ chế nguyên liệu cho món gà bó xôi chiên giòn | – Các bạn mua gà làm sẵn mang về lấy muối xát lên khắp mình gà để làm sạch lông tơ và chất bẩn rồi dùng nước rửa sạch. Sau đó cho bạn gà ngâm vào nước muối loãng khoảng 10 phút rồi vớt ra rổ thưa để cho ráo nước. Vì là gà mua sẵn nên bạn nhớ sơ chế lại cho sạch sẽ, vừa là để đảm bảo an toàn vệ sinh thực phẩm, vừa là để cách làm cho món gà bọc xôi chiên giòn ngọt thơm và hấp dẫn hơn. | – Tiếp theo các bạn nhặt hành lá rồi rửa sạch, đem thái khúc nhỏ. | – Gừng, hành khô các bạn bỏ vỏ, băm nhỏ. | – Sau đó các bạn vo gạo nếp cho sạch rồi cho nước ngập khoảng gần 2 đốt ngón tay +1/2 lon nước cốt dừa+ 1 thìa cà phê muối, ngâm khoảng 5 tiếng cho gạo nở, sau đó vớt gạo ra để ráo nước. | Các bước thực hiện món gà bó xôi chiên giòn | Bước 1:Các bạn cho dầu ăn vào chảo đun nóng rồi phi thơm gừng, hành khô sau đó trút ra bát để riêng. | Bước 2:Khi chảo vẫn đang nóng thì bạn cho thêm dầu ăn vào đun nóng già rồi thả hết hành lá vào đảo đều qua là được. Sau đó bạn cho hành lá ra bát khác để tách riêng với gừng, hành khô. | Bước 3:Gạo nếp các bạn trút vào bát to cùng với 1 thìa muối và bột nêm gà, hỗn hợp gừng, hành khô vừa phi vàng vào trộn đều. | Bước 4:Để thịt gà ngon hơn bạn nên ướp thêm với một chút muối + một chút hạt tiêu khoảng 30 phút | Bước 5:Các bạn cho nước vào nồi hấp đun sôi rồi đổ gạo nếp vào, cho gà lên trên gạo nếp hấp chung. Các bạn hấp đến khi nào gà gần chín thì gắp ra đĩa, tiếp tục hấp xôi đến khi xôi chín mềm, dẻo là được. Khi xôi đã chín mềm, bạn cho nốt 1/2 lon nước cốt dừa vào để xôi thơm và béo ngậy hơn nhé. | Bước 6:Khi xôi đã chín và còn nóng bạn tiến hành bọc xôi kín xung quanh gà, càng kín càng tốt. | – Để cho quá trình bọc xôi đơn giản, dễ dàng hơn bạn nên dùng màng bọc thực phẩm hay giấy bạc, sau đó trải rộng giấy bạc ra mâm rồi cho xôi nếp đã chín vào dàn đều dầy khoảng 1,5cm và nhớ nén chặt xôi lại cho thành một khối. Sau đó bạn cho gà vào giữa xôi rồi cuốn lại, bọc xôi cho kín hết gà không bị hở thì thôi. Đợi một lúc rồi bạn bóc giấy bạc ra, đợi xôi nguội rồi tiếp tục thực hiện các bước tiếp theo của món ăn. | Bước 7:Cuối cùng các bạn cho dầu ăn vào chảo sâu lòng, nhớ là cho nhiều dầu ăn để ngập ít nhất 1/2 con gà bạn nhé. Tiếp theo bạn đun dầu cho nóng già rồi thả gà bó xôi vào tiến hành chiên. Chiên đến khi nào xôi bọc bên ngoài giòn, vàng đều là được. Bạn vớt gà ra rổ thưa để ráo dầu. | Chỉ với những bước làm đơn giản bạn đã hoàn thành xong món gà bọc xôi chiên giòn ngon, hấp dẫn và béo ngậy tại nhà rồi. Bạn đợi xôi chiên bớt nóng rồi tách xôi ra để thưởng thức thịt gà thôi nào. Xôi chiên và gà chặt thành những miếng vừa ăn rồi xếp vào đĩa, cho xôi chiên xếp xung quanh để trang trí sẽ hấp dẫn hơn rất nhiều. | Xem thêm:Hướng dẫn cách làm món gà hấp muối hột | Lưu ý: | Khi mua gà bạn nên chọn gà ta để thịt gà được ngon hơn và không bị mủn | Gạo nếp các bạn nên ngâm lâu một chút vì nếu không ngâm đủ lâu thì khi thổi xôi hạt xôi sẽ bị cứng và không ngon | Khi phi gừng, hành khô bạn chỉ cần thấy chúng hơi vàng thì vớt ra luôn. Nếu để quá lâu sẽ khiến chúng bị cháy và có mùi khét | Trong quá trình bọc xôi quanh gà bạn bọc xôi càng kín càng tốt nó sẽ giúp xôi được chiên giòn mà thịt gà cũng không mất đi vị của nó | Khi chiên xôi bạn nên để trong chảo sâu lòng và nhiều dầu một chút để có thể đủ lượng giúp xôi chín và không bị sát chảo"
Học cách làm món gà sốt Tứ Xuyên lừng danh,60 phút,4 người,Dễ,Gà-Nửa con | Trứng bắc thảo-1 quả | Bánh phở-2 lá | Lạc giã nhỏ-25 gr | Cần tây-20 gr | Hành tím-1 củ | Tỏi-3 gr | Gừng-3 gr | Ớt đỏ-3 gr | Rau mùi-vài nhánh | Phần sốt tứ xuyên- | Bột nêm gà-15 gr | Muối-7 gr | Xì dầu-15 ml | Bột thì là-15 gr | Ớt sa tế-ml | Dầu mè-15 ml,"Bước 1:Cần tây các bạn rủa sạch rùi thái nhỏ. | Hành tím các bạn bỏ vỏ rùi rửa sạch, băm nhỏ | Gừng bạn cạo vỏ rùi rửa sạch và băm nhỏ | Ớt các bạn cũng rửa sạch rồi băm nhỏ | Sau đó các bạn trộn tất cả các nguyên liệu trên vào một bát tô cùng với nước sốt và trộn cho thật đều sao cho các nguyên liệu đều ngấm gia vị | Bước 2:Các bạn cắt phở thành miếng vửa ăn rồi xếp ra đĩa cho sạch | Trứng bắc thảo các bạn cắt thành những miếng nhỏ cho vừa ăn | Bước 3:Luộc gà | Bạn bắc nồi lên bếp có sẵn nước rồi cho thêm gừng, tỏi rùi cho gà vào luộc (Gừng và tỏi giúp gà luộc có hương thơm hấp dẫn và đậm đà hơn). Bạn nên cho thêm một chút bột canh, mì chính để thịt gà thêm ngọt | Bước 4:Gà chín các bạn lấy gà ra và để ráo nước và để gà nguội. Bạn có thể để gà trog tủ lạnh 15 phút giúp thịt gà săn chắc. Sau đó các bạn chặt gà thành những miếng vừa ăn rồi xếp lên đĩa đựng bánh phỏ đã cắt ở trên. Bạn cho thêm trứng bắc thảo đã chuẩn bị rồi rưới nước sốt đã chuẩn bị. | Bước 5:Bước cuối cùng chúng ta chỉ cần rắc thêm một chút vừng, lạc xung quanh và thêm vài nhánh rau mùi trang trí bên trên . | Chúc các bạn thành công và ngon miệng!"
Món tôm xào thập cẩm cực thơm ngon,35 phút,4 người,Dễ,Tôm đã bóc vỏ-200g | Muối-Vừa ăn | Rượu gạo-15ml | Hạt tiêu-Vừa đủ | Ngô ngọt-100g | Cần tây-2 nhánh | Tỏi băm-30g | Hành tây-1 ít | Dầu mè-15ml | Dầu hào-15ml | Đường-5g | Dầu mè-5ml,"Bước 1:Tôm rửa sạch. Cho rượu gạo, dầu hào, đường, dầu mè, muối và hạt tiêu vào tôm, ướp trong 15 phút. | Bước 2:Cần tây thái hạt lựu. Tỏi băm nhỏ, hành tây thái nhỏ. | Bước 3:Trên một chảo lớn, cho thêm dầu ăn cho tỏi vào xào thơm. Thêm tôm vào xào cho đến khi gần chín, cho ra đĩa. | Bước 4:Trong một chảo khác, thêm một ít dầu, sau đó cho cần tây vào xào mềm. | Bước 5: Thêm ngô, tôm, ít hành tây vào xào cho đến khi tôm chín. | Thêm ít dầu mè, muối và hạt tiêu vừa đủ. Cho tôm xào thập cẩm ra đĩa rồi thưởng thức với cơm. | Chúc các bạn thành công và ngon miệng với cách làm tôm xào thập cẩm!"
Sườn sốt me ngon mê mẩn,60 phút,4 người,Dễ,"Sườn non-500g | Nước cốt me-5ml | Gia vị-đường, hạt tiêu, bột nghệ, bột canh. | Hành khô, tỏi khô- | Cà chua-1 quả thái hạt lựu","Bước 1:Sườn rửa sạch, ướp với gia vị, hạt tiêu, để 15 phút cho ngấm. | Bước 2:Hành khô, tỏi khô băm nhỏ, phi với dầu ăn cho thật thơm. | Bước 3:Lọc bỏ xác hành tỏi khô, chắt lấy dầu đã phi thơm. Dùng chính dầu này để rán sườn. Cách làm này giúp miếng sườn vẫn thơm mùi hành tỏi phi, nhưng không bị cháy đắng vì có hành tỏi khô dính quanh miếng sườn khi rán. Sườn rán vàng hai mặt, vớt để riêng cho ráo mỡ. | Bước 4:Dùng một chiếc chảo khác, cho chút dầu ăn rồi đảo qua cà chua cho mềm. | Bước 5:Sau đó, cho nước cốt me, nêm chút gia vị và đường cho vừa khẩu vị, rồi cho tiếp sườn vào đun cho đến khi gần cạn, nước sốt sánh lại là được. | Gắpsườn sốt mera đĩa, đổ nước sốt trong chảo lên sườn.  Sườn sốt me sẽ là món ngon cho cả nhà. | Chúc bạn và gia đình ngon miệng với cách làm sườn sốt me thơm ngon đậm đà này nhé! | Tham khảo thêm:Hướng dẫn cách làm sườn sốt cà chua ngọt"
Mực chiên xù giòn ngon đơn giản tại nhà,60 phút,4 người,Dễ,"Mực vừa-2 con | Bột chiên xù-300 gr | Bột chiên giòn-1 gói | Bột mì-150 gr | Tương ớt-100 ml | Nước tương-15 ml | Hành lá, ngò rí-100 gr | Trứng-2 quả | dầu ăn, tiêu xay, muối, rượu trắng, gừng tươi, sốt mayonnaise-gia vị","-    Trước tiên các bạn đổ nước sôi lên mực rồi xát muối và cọ sạch phần ngoài cho bớt nhớt | -    Tiếp theo các bạn cắt mực thành từng khoanh nhỏ vừa ăn rồi để rao nước | -     Sau khi mực đã ráo nước các bạn ướp mực với một chút muối tiêu, rượu trắng khoảng 15 phút cho ngấm gia vị và rượu trắng giúp mực khử bớt mùi tanh. | -    Sau khoảng 15 phút ướp gia vị, mực đã ngấm thì các bạn đổ bột chiên giòn và chiên xù ra 2 bát riêng. Nên để vào bát tô rộng miệng cho dễ nhúng. | -    Trứng gà các bạn đập ra bát riêng. | Bước 1: Các bạn đổ ngập dầu vào chảo, đun nóng trên bếp cho đến khi dầu sôi. Bạn cũng có thể lựa nồi đáy nhỏ và sâu cho ít tốn dầu và dễ rán. Dầu ngập miếng mực sẽ giúp mực chiên được giòn và ngon hơn, màu sắc cũng bắt mắt hơn. | Bước 2:Bạn gắp mực đã thái nhúng từng miếng một lần lượt vào bát bột chiên, lăn cho đều bột chiên rồi nhúng vào bát trứng và cuối cùng là lăn đều qua bột chiên xù. | Sau khi mực đã được lăn qua bột chiên, trứng và bột chiên xù thì bạn bỏ mực vào chảo dầu chiên khoảng 2-3 phút cho đến khi mực chuyển màu vàng. | Bước 3:Mực chuyển sang màu vàng đẹp mắt thì các bạn gắp mực ra đĩa có giấy thấm dầu cho ráo dầu rồi thưởng thức | Chúc các bạn thành công và ngon miệng! | Lưu ý | -    Mực chiên xù để đỡ ngán thì bạn ăn kèm với salad rau, tương ớt và sốt mayonase. | -    Khi chiên bạn nhớ chú ý lửa vì để lâu quá mực sẽ bị dai, cỏ vỏ cháy, màu không đệp mắt và làm mất hương vị của món ăn | -    Món mực chiên xù thành công có vỏ ngoài vàng giòn, bên trong dai mềm, ngọt vị mực tươi và rất phù hợp cho các ông chồng nhắm rượu hoặc trẻ con ăn. Đừng ngần ngại bỏ ra chút thời gian để chuẩn bị một món ngon cho bữa cơm gia đình thêm ấm cúng nhé! | -     Cách chọn mực ngon: Mực tươi gồm chủ yếu 2 loại: mực nang và mực ống. Mực nang thân to và dẹp gần như hình bầu dục. Nên chọn con to, dày mình, trắng đục như cùi dừa, thịt chắc không bị nát, lớp màng màu nâu bao quanh đều bên ngoài. Mực ống thân cuộn tròn (hình ống), hơi dài, mình mỏng hơn so với mực nang. Chọn mực ống nên chọn con thịt còn sáng hơi hồng, dầu vẫn dính chặt vào thân, túi mực chưa bị vỡ. Nhìn chung mực kém tươi là mực đã chuyển sang màu hơi xanh ngà, thịt nhão, đầu không dính chặt với thân, mùi rất tanh. | Mực khô: Chon con to vừa, không nên chọn loại nhỏ quá hoặc lớn quá. Trung bình từ 100 - 150 gam một con là vừa. Chọn con dày mình, màu hồng nhạt, thân mực phẳng đều có lớp phấn trắng trên bề mặt, sờ tay thấy khô cứng, có mùi thơm đặc trưng không tanh."
Thịt ba chỉ kho nấm rơm đậm đà ngon cơm,60 phút,4 người,Dễ,"Thịt ba chỉ-300g | Nấm rơm-150g | Hành củ, hành lá, ớt- | Gia vị-Nước mắm, bột nêm, đường, nước màu dừa, tiêu, muối.","Bước 1:Thịt ba chỉ rửa sạch với chút muối, để ráo, thái miếng nhỏ. Chú ý: Khi kho với nấm rơm thì các bạn thái thịt nhỏ hơn một chút so với các món kho khác. | Bước 2:Ướp thịt với hành củ bằm nhỏ, nước mắm, bột nêm, nước màu dừa (hoặc nước hàng), xíu đường để khoảng 15-20 phút cho thịt ngấm. Nếu không quen tỷ lệ các loại gia vị, bạn có thể sử dụng gói gia vị thịt kho mua sẵn. | Bước 3:Nấm rơm cắt bỏ chân, phần dập nát, rửa sạch, ngâm trong nước vo gạo có thêm chút muối khoảng 30 phút cho nấm sạch, trắng. | Nếu không có nước vo gạo bạn sử dụng nước lã có thêm chút muối là được. Sau đó, vớt ra rổ, rửa lại với nước cho sạch, để ráo. | Bước 4:Bắc nồi lên bếp, cho thịt vào đảo cho săn. | Bước 5:Khi thịt săn, thêm chút nước sôi sao cho ngập mặt thịt, kho với lửa vừa đến khi nước gần cạn, thịt chín mềm. | Bước 6:Cho nấm rơm vào đảo kỹ, kho thêm khoảng 5-7 phút nữa. Nêm nếm cho vừa ăn. Tắt bếp, rắc chút hành lá xắt nhỏ, ớt xắt và xíu tiêu là được. | Chúc các bạn thành công với món thịt ba chỉ kho nấm rơm mềm ngon cho gia đình!"
Bánh khoai lang nhân phô mai cho bé ăn ngon khó cưỡng,60 phút,4 người,Dễ,Khoai lang-180 gr ( luộc chín) | Bột gạo tẻ-100 gr | phô mai mozzarella-30 gr | phô mai mềm-2 lát,"Sơ chế nguyên liệu: | Khoai lang các bạn rửa sạch với nước cho bớt đất cát dính trên vỏ khoai và khoai không bị sạn. Sau đó các bạn đem khoai đi luộc với nước. Các bạn nhớ để ý bếp vì nước sẽ rất nhanh cạn nếu bạn không chú ý thì khoai rất dễ bị cháy khét sẽ làm hỏng mất nguyên liệu và món ăn không được ngon. | Bột mì các bạn rây lại cho mịn để khi làm sẽ không bị vón cục | Bước 1: Các bạn sau khi để nguội khoai một chút thì đem nghiền nhuyễn khoai lang luộc rồi cho vào trộn cùng bột gạo, 1 thìa đường, 1 chút xíu muối và 70ml nước ấm nhé! | Bước 2:Bạn nhào kĩ cho đến khi khối bột mịn, mềm và không còn dính tay. | Bước 3:Tiếp theo các bạn chia đều bột thành từng viên nhỏ, cán mỏng rồi bạn cho 2 loại phô mai vào giữa rồi viên tròn. Bạn chú ý không cán khoai quá mỏng hoặc quá dày. Nếu cán quá mỏng thì khi rán khoai dễ bị vỡ nên phô mai sẽ bị chảy ra ngoài và bánh mất ngon. Nếu bạn cán quá dày thì khi ăn sẽ gây cảm giác ngán khoai vì nó có quá nhiều trong khi phô mai lại quá ít. | Bước 4:Tiếp theo các bạn đun chảo dầu thật nóng rồi cho bánh vào chiên cho vàng. Các bạn chú ý để dầu ngập bánh và đảo nhẹ trong khi chiên để bánh được tròn và đều màu nhé! | Bước 5:Cuối cùng nếu thích ăn ngọt, sau khi để bánh ráo dầu, các bạn cho bánh vào chảo đảo nhanh với 1 thìa đường. Sao cho đường chảy và bám đều vào bánh là được. | Chúc các bạn thành công và ngon miệng! | Bánh khoai lang nhân phô mai là một món ăn đơn giản, dễ làm với những nguyên liệu quen thuộc, tất cả tạo nên những chiếc bánh với màu vàng giòn rụm, mùi thơm lừng của khoai lang và từng miếng phô mai tan chảy trong miệng khi căn miếng bánh. Những chiếc bánh xinh xắn này rất thích hợp cho hững ngày se lạnh hay mưa gió và đặc biệt là các em nhỏ sẽ rất thích thú khi được thưởng thức những chiếc bánh ngon tuyệt này đấy. | Lưu ý: | Khi nhào bột bánh các bạn phải nhào cho kĩ để các nguyên liệu được hòa quyện với nhau và bột bánh mềm, mịn, dẻo và không bị dính tay | Khi chiên bạn nhớ để chảo ngập dầu thì khi chiên bánh sẽ giòn, vàng đều và không bị ngấm dầu. | Khi chiên xong nếu không thích ăn ngọt thì bạn để những chiếc bánh đã chiên vàng lên giấy thấm dầu cho bớt dầu để khi ăn không bị ngán | Cách chọn khoai lang ngon:Các bạn nên chọn củ khoai lang còn cứng, tươi, không bị thâm, dập hay bị nứt, sứt. Không nên mua củ to quá dễ bị xơ, mà chỉ nên chọn củ cỡ vừa.- Những củ bị rỗ, có màu đen là những củ bị hà, đã hỏng không ăn được.- Khoai lang mua không nên bảo quản trong tủ lạnh, nó sẽ nhanh hỏng và bị mất mùi vị, bị héo. Bạn nên để khoai ở nơi thoáng mát, không bọc kín trong túi nilon, đừng để ở chỗ ấm và ẩm thấp khoai sẽ mọc mầm. Nếu bảo quản tốt có thể để khoai từ 7 – 10 ngày."
Sườn rim chua ngọt ngon mê ly cho bữa cơm nhà,60 phút,4 người,Dễ,"Sườn non-700 gr | Trứng gà-1 quả | Ớt sừng-10 gr | Hành tím-10 gr | Tỏi-10 gr | Tương ớt-1.5 muỗng canh | Tương cà-1.5 muỗng canh | Nước tương-5 muỗng cà phê | Giấm-2 muỗng cà phê | Bột bắp-2 muỗng canh | Dầu ăn-50 ml | Gia vị-Muối, đường, hạt nêm, bột ngọt, tiêu","1. Sơ chế nguyên liệu | Sơ chế sườn: Sử dụng muối hoặc chanh để chà xát mặt thịt của sườn heo. Sau đó, rửa sườn lại với nước sạch để loại bỏ muối hoặc chanh trên bề mặt, sau đó để ráo. Tiếp theo, chặt sườn thành các miếng nhỏ vừa ăn. | Trụng sườn: Chuẩn bị một thau hoặc nồi lớn, đổ nước sôi vào thau sao cho mặt sườn được ngập trong nước. Trụng sườn trong nước sôi khoảng 5 - 10 phút, sau đó vớt sườn ra và xả sạch bằng nước lạnh để loại bỏ cặn bẩn. | Rửa và để ráo: Xả sườn bằng nước sạch để loại bỏ bất kỳ tạp chất nào còn lại trên bề mặt. Sau đó, để sườn ráo trong một chỗ khô thoáng. | 2. Ướp và chiên sườn | Chuẩn bị gia vị: Trong một tô, trộn đều 1/3 muỗng cà phê muối, 2 muỗng cà phê hạt nêm, 1/3 muỗng cà phê bột ngọt, 1 muỗng cà phê nước tương, 1 muỗng canh đường, 1/3 muỗng cà phê tiêu xay, 5g tỏi băm và 10g hành tím băm. | Ướp sườn: Đặt sườn vào một tô và rắc đều gia vị đã chuẩn bị lên sườn. Đảo đều để sườn thấm đều gia vị. Ướp sườn trong khoảng 15 - 20 phút để gia vị thấm vào sườn đều. | Chuẩn bị hỗn hợp bột áo: Đập 1 quả trứng gà và tách lấy lòng trắng. Hòa lòng trắng trứng với 2 muỗng canh bột bắp. | Áo sườn bằng hỗn hợp bột áo: Cho hỗn hợp bột bắp và lòng trắng trứng vào tô chứa sườn. Trộn đều để bột áo phủ đều lên sườn. | Một gợi ý nhỏ: Ướp thịt với lòng trắng trứng gà và bột bắp giúp sườn khi chiên có màu vàng đẹp và trở nên giòn hơn. | Chiên sườn: Đặt một chảo lên bếp và đổ dầu ăn vào chảo. Chờ đến khi dầu ăn nóng, sau đó đặt phần sườn đã được áo bột vào chảo và chiên ở lửa vừa. Chiên sườn cho đến khi sườn chín vàng và cạnh sườn trở nên giòn. Sau đó, vớt sườn ra khỏi chảo để ráo dầu. | 3. Rim sườn | Đổ bớt dầu từ chảo, giữ lại một ít dầu và cho tỏi vào phi thơm. | Thêm 10g ớt sừng băm nhuyễn và toàn bộ phần sốt đã pha trước đó vào chảo. Tiếp theo, đổ 50ml nước lọc vào tô chứa nước sốt, tráng đều rồi đổ vào chảo. Đun nước sốt cho đến khi hỗn hợp sôi lên và hơi sánh lại. | Rim sườn ở lửa nhỏ trong khoảng 5 phút cho đến khi nước sốt sánh kẹo lại và sườn ngấm đều gia vị. Sau đó, tắt bếp. | Bày sườn ra đĩa và trang trí để tạo thành một món ăn đẹp mắt. | 4. Thành phẩm | Món sườn rim chua ngọt dễ thực hiện, với các nguyên liệu đơn giản và dễ tìm kiếm. Tuy nhiên, hương vị của nó lại vô cùng thơm ngon và hấp dẫn, tạo cảm giác thèm thuồng khiến bạn muốn ăn thêm. Mỗi miếng sườn thấm đầy hương vị, kết hợp với sốt chua chua, ngọt ngọt, tạo ra một cảm giác kích thích vị giác tuyệt vời khi ăn kèm cơm."
